Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,,,
CSS,Caribbean small states,Caribbean small states,Caribbean small states,S3,,,,,S3,,,,,,,,,,,,,,,,,,,,,,,"('CSS','Caribbean small states','Caribbean small states','S3','','','S3'),"
CUB,Cuba,Cuba,Republic of Cuba,CU,Cuban peso,,Latin America & Caribbean,Upper middle income,CU,1997,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2012,"Multiple Indicator Cluster Survey, 2019",,Yes,,1989,2006,,,"('CUB','Cuba','Republic of Cuba','CU','Latin America & Caribbean','Upper middle income','CU'),"
CUW,Curaçao,Curaçao,Curaçao,CW,Netherlands Antillean guilder,,Latin America & Caribbean,High income,CW,2011,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,,,2011,,,Yes,,,,,,"('CUW','Curaçao','Curaçao','CW','Latin America & Caribbean','High income','CW'),"
CYM,Cayman Islands,Cayman Islands,Cayman Islands,KY,Cayman Islands dollar,,Latin America & Caribbean,High income,KY,2015,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,,,2020 (expected),,,Yes,,,2015,,,"('CYM','Cayman Islands','Cayman Islands','KY','Latin America & Caribbean','High income','KY'),"
CYP,Cyprus,Cyprus,Republic of Cyprus,CY,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,CY,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('CYP','Cyprus','Republic of Cyprus','CY','Europe & Central Asia','High income','CY'),"
CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna,,Europe & Central Asia,High income,CZ,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013,2018,,,"('CZE','Czech Republic','Czech Republic','CZ','Europe & Central Asia','High income','CZ'),"
DEU,Germany,Germany,Federal Republic of Germany,DE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,DE,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers and sample surveys while data on housing characteristics are collected through full field enumeration.,,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('DEU','Germany','Federal Republic of Germany','DE','Europe & Central Asia','High income','DE'),"
DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc,,Middle East & North Africa,Lower middle income,DJ,2013,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2006","Priority survey (PS), 2017",,,,2009,,,"('DJI','Djibouti','Republic of Djibouti','DJ','Middle East & North Africa','Lower middle income','DJ'),"
DMA,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,DM,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,2015,,2012,,,"('DMA','Dominica','Commonwealth of Dominica','DM','Latin America & Caribbean','Upper middle income','DM'),"
DNK,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone,,Europe & Central Asia,High income,DK,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('DNK','Denmark','Kingdom of Denmark','DK','Europe & Central Asia','High income','DK'),"
DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,,Latin America & Caribbean,Upper middle income,DO,Original chained constant price data are rescaled.,2007,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",,2015,1984,2017,,,"('DOM','Dominican Republic','Dominican Republic','DO','Latin America & Caribbean','Upper middle income','DO'),"
DZA,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar,,Middle East & North Africa,Lower middle income,DZ,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2018/19","Integrated household survey (IHS), 2011",,,2010,2017,,,"('DZA','Algeria','People's Democratic Republic of Algeria','DZ','Middle East & North Africa','Lower middle income','DZ'),"
EAP,East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income),4E,,,,,4E,,,,,,,,,,,,,,,,,,,,,,,"('EAP','East Asia & Pacific (excluding high income)','East Asia & Pacific (excluding high income)','4E','','','4E'),"
EAR,Early-demographic dividend,Early-demographic dividend,Early-demographic dividend,V2,,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.,,,V2,,,,,,,,,,,,,,,,,,,,,,,"('EAR','Early-demographic dividend','Early-demographic dividend','V2','','','V2'),"
EAS,East Asia & Pacific,East Asia & Pacific,East Asia & Pacific,Z4,,East Asia and Pacific regional aggregate (includes all income levels).,,,Z4,,,,,,,,,,,,,,,,,,,,,,,"('EAS','East Asia & Pacific','East Asia & Pacific','Z4','','','Z4'),"
ECA,Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income),7E,,,,,7E,,,,,,,,,,,,,,,,,,,,,,,"('ECA','Europe & Central Asia (excluding high income)','Europe & Central Asia (excluding high income)','7E','','','7E'),"
ECS,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia,Z7,,Europe and Central Asia regional aggregate (includes all income levels).,,,Z7,,,,,,,,,,,,,,,,,,,,,,,"('ECS','Europe & Central Asia','Europe & Central Asia','Z7','','','Z7'),"
ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,,Latin America & Caribbean,Upper middle income,EC,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Special Data Dissemination Standard (SDDS),2020 (expected),"Reproductive Health Survey, 2004","Integrated household survey (IHS), 2018",,,2008,2018,,,"('ECU','Ecuador','Republic of Ecuador','EC','Latin America & Caribbean','Upper middle income','EC'),"
EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,EG,Egyptian pound,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Lower middle income,EG,2016/17,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2017,"Health Issues Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015",Yes,2009-2010,2012,2018,,,"('EGY','Egypt','Arab Republic of Egypt','EG','Middle East & North Africa','Lower middle income','EG'),"
EMU,Euro area,Euro area,Euro area,XC,,Euro area aggregate.,,,XC,,,,,,,,,,,,,Special Data Dissemination Standard (SDDS),,,,,,,,,,"('EMU','Euro area','Euro area','XC','','','XC'),"
ERI,Eritrea,Eritrea,State of Eritrea,ER,Eritrean nakfa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,ER,2011,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Estimate,,,,,"Demographic and Health Survey, 2002","Priority survey (PS), 1993",,,2012,2003,,,"('ERI','Eritrea','State of Eritrea','ER','Sub-Saharan Africa','Low income','ER'),"
ESP,Spain,Spain,Kingdom of Spain,ES,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,ES,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2009,2014,2018,,,"('ESP','Spain','Kingdom of Spain','ES','Europe & Central Asia','High income','ES'),"
EST,Estonia,Estonia,Republic of Estonia,EE,Euro,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,EE,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2014,2018,,,"('EST','Estonia','Republic of Estonia','EE','Europe & Central Asia','High income','EE'),"
ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Sub-Saharan Africa,Low income,ET,2015/2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Socioeconomic Survey 2018-2019, Interim Demographic and Health Survey, 2019","Expenditure survey/budget survey (ES/BS), 2015/16",,,2014,2016,,,"('ETH','Ethiopia','Federal Democratic Republic of Ethiopia','ET','Sub-Saharan Africa','Low income','ET'),"
EUU,European Union,European Union,European Union,EU,,European Union aggregate.,,,EU,,,,,,,,,,,,,,,,,,,,,,,"('EUU','European Union','European Union','EU','','','EU'),"
FCS,Fragile and conflict affected situations,Fragile and conflict affected situations,Fragile and conflict affected situations,F1,,"Fragile and conflict-affected situations aggregate. 

Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories:

- Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility.
- Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict.

For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations.",,,F1,,,,,,,,,,,,,,,,,,,,,,,"('FCS','Fragile and conflict affected situations','Fragile and conflict affected situations','F1','','','F1'),"
FIN,Finland,Finland,Republic of Finland,FI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FI,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected). Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('FIN','Finland','Republic of Finland','FI','Europe & Central Asia','High income','FI'),"
FJI,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,,East Asia & Pacific,Upper middle income,FJ,2014,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,,"Expenditure survey/budget survey (ES/BS), 2013",Yes,2009,2011,2018,,,"('FJI','Fiji','Republic of Fiji','FJ','East Asia & Pacific','Upper middle income','FJ'),"
FRA,France,France,French Republic,FR,Euro,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FR,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2016,,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('FRA','France','French Republic','FR','Europe & Central Asia','High income','FR'),"
FRO,Faroe Islands,Faroe Islands,Faroe Islands,FO,Danish krone,,Europe & Central Asia,High income,FO,,,,,,,,,BPM5 (Converted into BPM6 by IMF),,,,,2011,,,Yes,,,2009,,,"('FRO','Faroe Islands','Faroe Islands','FO','Europe & Central Asia','High income','FO'),"
FSM,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,FM,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.,East Asia & Pacific,Lower middle income,FM,2003/04,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),,"Expenditure survey/budget survey (ES/BS), 2013",,,,2013,,,"('FSM','Micronesia','Federated States of Micronesia','FM','East Asia & Pacific','Lower middle income','FM'),"
GAB,Gabon,Gabon,Gabonese Republic,GA,Central African CFA franc,,Sub-Saharan Africa,Upper middle income,GA,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Living Standards Measurement Study Survey (LSMS)/Integrated household survey (IHS), 2017",,,1995,2009,,,"('GAB','Gabon','Gabonese Republic','GA','Sub-Saharan Africa','Upper middle income','GA'),"
GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,,Europe & Central Asia,High income,GB,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2010,2013,2018,,,"('GBR','United Kingdom','United Kingdom of Great Britain and Northern Ireland','GB','Europe & Central Asia','High income','GB'),"
GEO,Georgia,Georgia,Georgia,GE,Georgian lari,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Europe & Central Asia,Upper middle income,GE,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017",Yes,2014,2013,2018,,,"('GEO','Georgia','Georgia','GE','Europe & Central Asia','Upper middle income','GE'),"
GHA,Ghana,Ghana,Republic of Ghana,GH,New Ghanaian cedi,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Lower middle income,GH,2013,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2017",,,2003,2018,,,"('GHA','Ghana','Republic of Ghana','GH','Sub-Saharan Africa','Lower middle income','GH'),"
GIB,Gibraltar,Gibraltar,Gibraltar,GI,Gibraltar pound,The DEC conversion is not reported when national accounts data are unavailable.,Europe & Central Asia,High income,GI,,,,,,,,,,,,,,2012,,,Yes,,,,,,"('GIB','Gibraltar','Gibraltar','GI','Europe & Central Asia','High income','GI'),"
GIN,Guinea,Guinea,Republic of Guinea,GN,Guinean franc,,Sub-Saharan Africa,Low income,GN,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2014,"Malaria Indicator Survey, 2021","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2015,,,"('GIN','Guinea','Republic of Guinea','GN','Sub-Saharan Africa','Low income','GN'),"
GMB,The Gambia,"Gambia, The",Republic of The Gambia,GM,Gambian dalasi,,Sub-Saharan Africa,Low income,GM,2013,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2015",,2011-2012,2004,2018,,,"('GMB','The Gambia','Republic of The Gambia','GM','Sub-Saharan Africa','Low income','GM'),"
GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,GW,West African CFA franc,,Sub-Saharan Africa,Low income,GW,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2018/19","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",,,,2005,,,"('GNB','Guinea-Bissau','Republic of Guinea-Bissau','GW','Sub-Saharan Africa','Low income','GW'),"
GNQ,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,GQ,Central African CFA franc,,Sub-Saharan Africa,Upper middle income,GQ,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Demographic and Health Survey, 2011","Priority survey (PS), 2006",,2015,,,,,"('GNQ','Equatorial Guinea','Republic of Equatorial Guinea','GQ','Sub-Saharan Africa','Upper middle income','GQ'),"
GRC,Greece,Greece,Hellenic Republic,GR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,GR,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2009,2013,2018,,,"('GRC','Greece','Hellenic Republic','GR','Europe & Central Asia','High income','GR'),"
GRD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,GD,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Reproductive Health Survey, 1985",,Yes,2012,,2009,,,"('GRD','Grenada','Grenada','GD','Latin America & Caribbean','Upper middle income','GD'),"
GRL,Greenland,Greenland,Greenland,GL,Danish krone,,Europe & Central Asia,High income,GL,,,,,,,,,,,General trade system,,,2020 (expected). Population figures compiled from administrative registers.,,,Yes,,,2018,,,"('GRL','Greenland','Greenland','GL','Europe & Central Asia','High income','GL'),"
GTM,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,GT,Original chained constant price data are rescaled.,2013,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2018,"Demographic and Health Survey, 2014/15","Living Standards Measurement Study Survey (LSMS), 2014",Yes,,1988,2017,,,"('GTM','Guatemala','Republic of Guatemala','GT','Latin America & Caribbean','Upper middle income','GT'),"
GUM,Guam,Guam,Guam,GU,U.S. dollar,,East Asia & Pacific,High income,GU,2012,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2020 (expected),,,Yes,2007,,,,,"('GUM','Guam','Guam','GU','East Asia & Pacific','High income','GU'),"
GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,,Latin America & Caribbean,Upper middle income,GY,2012,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 1998",,,,2018,,,"('GUY','Guyana','Co-operative Republic of Guyana','GY','Latin America & Caribbean','Upper middle income','GY'),"
HIC,High income,High income,High income,XD,,"High income group aggregate. High-income economies are those in which 2021 GNI per capita was more than $13,205.",,,XD,,,,,,,,,,,,,,,,,,,,,,,"('HIC','High income','High income','XD','','','XD'),"
HKG,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,Hong Kong dollar,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",East Asia & Pacific,High income,HK,Original chained constant price data are rescaled.,2019,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,Special Data Dissemination Standard (SDDS),"2016. The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population.",,,Yes,,2014,2018,,,"('HKG','Hong Kong SAR, China','Hong Kong Special Administrative Region of the People's Republic of China','HK','East Asia & Pacific','High income','HK'),"
HND,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Lower middle income,HN,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017",,,1996,2017,,,"('HND','Honduras','Republic of Honduras','HN','Latin America & Caribbean','Lower middle income','HN'),"
HPC,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),XE,,"The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC.",,,XE,,,,,,,,,,,,,,,,,,,,,,,"('HPC','Heavily indebted poor countries (HIPC)','Heavily indebted poor countries (HIPC)','XE','','','XE'),"
HRV,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna,,Europe & Central Asia,High income,HR,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Income survey (IS), 2015",Yes,"2010. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,,,"('HRV','Croatia','Republic of Croatia','HR','Europe & Central Asia','High income','HR'),"
